0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:09:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886093370 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:10:10 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=2 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:10:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886153421 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:11:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886213474 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:11:41 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=2 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:12:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886273484 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:13:12 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=2 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:13:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886333535 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:14:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886393578 HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:14:43 +0200] "POST /magnoliaAuthor/.magnolia/admincentral/HEARTBEAT/?v-uiId=2 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [04/Jul/2022:00:15:13 +0200] "GET /magnoliaAuthor/.magnolia/admincentral/PUSH?v-uiId=2&v-pushId=a8d8fea7-6ab2-4803-87d8-f05ab751efb9&X-Atmosphere-tracking-id=13a90cd7-cb28-42fa-85ff-43553675d868&X-Atmosphere-Framework=2.3.2.vaadin2-javascript&X-Atmosphere-Transport=long-polling&X-Atmosphere-TrackMessageSize=true&Content-Type=application%2Fjson%3B%20charset%3DUTF-8&X-atmo-protocol=true&_=1656886453597 HTTP/1.1" 200 2069
